order,slug,title,status,read_time_min,prev_slug,next_slug,file
84,84-autocomplete-feedback-loop,"StayVista 기술 개발기 84: [확장] Autocomplete 피드백 루프 - impression/select를 랭킹 신호로 환류하기",publish-ready,3,83-my-reservation-inquiry-apis,85-search-index-sync-outbox-projection,84-autocomplete-feedback-loop.md
85,85-search-index-sync-outbox-projection,"StayVista 기술 개발기 85: [확장] Search 인덱스 동기화 - Outbox 이벤트를 검색 문서로 투영하기",publish-ready,3,84-autocomplete-feedback-loop,86-destination-recommendation-fallback,85-search-index-sync-outbox-projection.md
86,86-destination-recommendation-fallback,"StayVista 기술 개발기 86: [확장] Destination 추천 엔진 - city/place 해석과 다단 fallback",publish-ready,3,85-search-index-sync-outbox-projection,87-catalog-roomtype-review-queries,86-destination-recommendation-fallback.md
87,87-catalog-roomtype-review-queries,"StayVista 기술 개발기 87: [확장] Catalog 상세 조회 - 객실 가용성 계산과 리뷰 집계 쿼리",publish-ready,4,86-destination-recommendation-fallback,88-payment-gateway-failure-contract,87-catalog-roomtype-review-queries.md
88,88-payment-gateway-failure-contract,"StayVista 기술 개발기 88: [확장] 결제 승인 실패 계약 - Booking/Ticket CONFIRM 경계 고정하기",publish-ready,3,87-catalog-roomtype-review-queries,89-idempotency-engine-deep-dive,88-payment-gateway-failure-contract.md
89,89-idempotency-engine-deep-dive,"StayVista 기술 개발기 89: [심화] Idempotency 엔진 - canonical hash와 상태 전이 설계",publish-ready,4,88-payment-gateway-failure-contract,90-queue-admit-token-lua,89-idempotency-engine-deep-dive.md
90,90-queue-admit-token-lua,"StayVista 기술 개발기 90: [심화] Queue Admit Token - Redis ZSET + Lua + HMAC",publish-ready,4,89-idempotency-engine-deep-dive,91-traffic-guard-rate-limit-cost,90-queue-admit-token-lua.md
91,91-traffic-guard-rate-limit-cost,"StayVista 기술 개발기 91: [심화] Traffic Guard - 비용 기반 Rate Limit과 Bot 분리",publish-ready,4,90-queue-admit-token-lua,92-api-envelope-error-contract,91-traffic-guard-rate-limit-cost.md
92,92-api-envelope-error-contract,"StayVista 기술 개발기 92: [심화] API Envelope/에러 계약 - request_id 일관성과 예외 매핑",publish-ready,3,91-traffic-guard-rate-limit-cost,93-search-facet-taxonomy-fallback,92-api-envelope-error-contract.md
93,93-search-facet-taxonomy-fallback,"StayVista 기술 개발기 93: [심화] Search Facet 엔진 - 택소노미 보존과 도시별 fallback",publish-ready,4,92-api-envelope-error-contract,94-auth-password-session-hardening,93-search-facet-taxonomy-fallback.md
94,94-auth-password-session-hardening,"StayVista 기술 개발기 94: [심화] 인증 하드닝 - PBKDF2 비밀번호 해시와 Redis 세션 수명 관리",publish-ready,4,93-search-facet-taxonomy-fallback,95-my-reservation-read-model-merge,94-auth-password-session-hardening.md
95,95-my-reservation-read-model-merge,"StayVista 기술 개발기 95: [심화] My 예약 통합 Read Model - 도메인 3종 집계와 정렬 전략",publish-ready,4,94-auth-password-session-hardening,96-customer-inquiry-state-validation,95-my-reservation-read-model-merge.md
96,96-customer-inquiry-state-validation,"StayVista 기술 개발기 96: [심화] 고객문의 도메인 - 상태 라벨/입력 검증/오류 계약",publish-ready,4,95-my-reservation-read-model-merge,97-voucher-issue-outbox-consumer,96-customer-inquiry-state-validation.md
97,97-voucher-issue-outbox-consumer,"StayVista 기술 개발기 97: [심화] 바우처 발급 소비자 - Outbox 재처리와 순번 멱등",publish-ready,4,96-customer-inquiry-state-validation,98-promotion-claim-race-control,97-voucher-issue-outbox-consumer.md
98,98-promotion-claim-race-control,"StayVista 기술 개발기 98: [심화] 프로모션 쿠폰 발급 경합 제어 - 중복/소진 경계 처리",publish-ready,4,97-voucher-issue-outbox-consumer,99-domain-support-outbox-helpers,98-promotion-claim-race-control.md
99,99-domain-support-outbox-helpers,"StayVista 기술 개발기 99: [심화] DomainSupportService 패턴 - 공통 검증과 Outbox 기록 표준화",publish-ready,3,98-promotion-claim-race-control,100-search-request-normalization-placeid,99-domain-support-outbox-helpers.md
100,100-search-request-normalization-placeid,"StayVista 기술 개발기 100: [심화] Search 요청 정규화 - place_id 해석과 가용성 파라미터 검증",publish-ready,4,99-domain-support-outbox-helpers,null,100-search-request-normalization-placeid.md
